Number of Contributors,Reside in US,Age,Relationship Status,Country,Currency Used,Financially Independent,FI Number,Percent of FI Amount,Amount to Retire,Target Safe Withdrawal Rate,Annual Income [Supplemental Sources],Retired Annual Spending,FI Number [Retired],Retired,Intended Retirement Age,Work if FI,Annual Withdrawal Rate,Annual Withdrawal Amount,Working Industry,Employer Type,Job Role,Full Time Employment,"Part Time, Regular Employment","Part Time, Irregular Employement",Not Employed,Housing Situation,Cost of Living Index,Total Assets,Total Debt,Annual Expenses,Total Income,Year
1,Yes,29-33,"In a relationship, but not married",,USD,Yes,,,,,,,2000000.0,No,39-43,Partially,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,81-90,2202000.0,0.0,526850.0,550000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,2000000.0,10.0,100000.0,3.5,,40000.0,,,54-58,Yes,,,Healthcare,Public corporation,Administrative staff,For an Organization (Employed),,,,Live with family or friends,61-70,73600.0,25750.0,26846.0,41000.0,2020
2,Yes,29-33,Married,,USD,Yes,,,,,,,100000.0,No,69+,No,,,Healthcare,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,91-100,1050000.0,0.0,307000.0,307000.0,2020
2,Yes,24-28,Married,,USD,No,300000.0,24.0,750000.0,3.0,15000.0,25000.0,,,39-43,Partially,,,Natural Resources,Public agency,Information Technology,For an Organization (Employed),For an Organization (Employed),,,Rent,61-70,132480.0,0.0,73417.0,110000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,1000000.0,10.0,2500000.0,4.0,15000.0,80000.0,,,39-43,Undecided,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,For Myself (Self-Employed),,Own,61-70,552000.0,247000.0,36000.0,130000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1500000.0,19.0,2400000.0,4.0,10000.0,75000.0,,,59-63,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,81-90,1034000.0,40000.0,85300.0,100000.0,2020
2,Yes,24-28,Married,,USD,No,2500000.0,10.0,2500000.0,4.0,,100000.0,,,44-48,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,For Myself (Self-Employed),,Own,51-60,864000.0,366700.0,0.0,194000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1500000.0,12.0,1500000.0,3.5,,52500.0,,,44-48,Undecided,,,Financial Services,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Live with family or friends,71-80,179221.0,0.0,6595.0,70067.0,2020
2,Yes,34-38,Married,,USD,No,2000000.0,62.0,2000000.0,3.0,30000.0,60000.0,,,44-48,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,71-80,1264500.0,0.0,141440.0,160000.0,2020
1,Yes,49-53,"Single, never married",,USD,Yes,,,,,,,2000000.0,No,54-58,Partially,,,Public Administration (Civilian Government),Public agency,Professional (licensed / certificated),For an Organization (Employed),,,,Own,61-70,2275000.0,256000.0,37130.0,130000.0,2020
2,Yes,34-38,Married,,USD,No,1600000.0,73.0,,,,63000.0,,,Undecided,Partially,,,Professional & Business Services,Self-employed,,,For Myself (Self-Employed),,,Own,71-80,1764910.0,0.0,47950.0,405000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,3200000.0,4.6,3200000.0,3.0,24000.0,96000.0,,,54-58,Partially,,,Financial Services,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,81-90,204401.0,1500.0,66487.0,99792.0,2020
2,Yes,24-28,"In a relationship, but not married",,USD,No,2000000.0,10.0,2000000.0,4.0,20000.0,80000.0,,,39-43,Undecided,,,Construction,Private corporation,Consultant,For an Organization (Employed),,,,Rent,91-100,190000.0,0.0,149700.0,180000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,2000000.0,25.0,4000000.0,3.5,,,,,39-43,No,,,Manufacturing,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,71-80,480000.0,0.0,141900.0,142000.0,2020
1,Yes,34-38,Married,,USD,No,500000.0,42.0,500000.0,3.5,13000.0,16000.0,,,44-48,Yes,,,Natural Resources,Public agency,Program Staff,,For an Organization (Employed),,,Own,41-50,290300.0,0.0,34935.0,45000.0,2020
1,Yes,34-38,"In a relationship, but not married",,USD,No,7600000.0,8.0,100.0,4.0,75000.0,65000.0,,,49-53,Partially,,,Other Services,Private corporation,Management - Upper,For an Organization (Employed),,For Myself (Self-Employed),,Own,71-80,471000.0,263800.0,184100.0,441367.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1000000.0,20.0,1250000.0,3.5,15000.0,40000.0,,,44-48,Yes,,,Professional & Business Services,Public corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,71-80,265000.0,0.0,61050.0,86000.0,2020
1,Yes,29-33,"Single, never married",,USD,Yes,,,,,,,1000000.0,No,29-33,Yes,,,Information Technology,Private corporation,Consultant,For an Organization (Employed),,,,Rent,61-70,1155000.0,0.0,129200.0,120000.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,No,1600000.0,44.0,1600000.0,4.0,,80000.0,,,54-58,Undecided,,,Healthcare,Private corporation,"Professional (non-licensed, certified)",,,,"For an Organization (Employed), For Myself (Self-Employed), N/A",Own,61-70,1107000.0,287000.0,6420.0,0.0,2020
1,Yes,49-53,Divorced,,USD,No,1500000.0,40.0,1500000.0,4.0,75000.0,75000.0,,,59-63,No,,,Financial Services,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,61-70,695000.0,65000.0,88425.0,125000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1000000.0,13.0,3000000.0,4.0,,60000.0,,,34-38,Partially,,,Financial Services,Self-employed,Consultant,,,For Myself (Self-Employed),,Rent,31-40,121000.0,3000.0,54800.0,50000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,630000.0,30.0,1200000.0,4.0,,30000.0,,,44-48,Partially,,,Manufacturing,Public corporation,"Professional (non-licensed, certified)",,,,,Rent,81-90,192000.0,0.0,67000.0,67000.0,2020
1,Yes,54-58,Divorced,,USD,No,675000.0,97.0,675000.0,3.5,17000.0,23000.0,,,54-58,Yes,,,Education,Public agency,Professional (licensed / certificated),For an Organization (Employed),,,,Own,61-70,935000.0,0.0,19600.0,58000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1200000.0,0.5,2000000.0,4.0,36000.0,60000.0,,,59-63,Partially,,,Manufacturing,Self-employed,General Labor,For Myself (Self-Employed),,For Myself (Self-Employed),,Rent,61-70,292816.0,94450.0,40744.0,30744.0,2020
1,Yes,24-28,"Single, never married",,USD,No,500000.0,33.0,875000.0,4.0,1500.0,35000.0,,,34-38,Undecided,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,61-70,163600.0,0.0,86666.0,81000.0,2020
2,Yes,29-33,Married,,USD,No,2500000.0,10.0,5000000.0,4.0,36000.0,200000.0,,,49-53,No,,,Healthcare,Self-employed,Professional (licensed / certificated),For Myself (Self-Employed),,,,Own,61-70,1046742.0,810000.0,270500.0,360000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,2100000.0,7.62,5000000.0,3.25,0.0,70000.0,,,49-53,No,,,Information Technology,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,81-90,199305.0,0.0,228276.91,231776.58,2020
1,Yes,24-28,"Single, never married",,USD,No,1250000.0,2.5,2000000.0,3.0,,35000.0,,,39-43,Undecided,,,Manufacturing,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,71-80,181917.0,109850.0,44150.0,72000.0,2020
2,Yes,44-48,Married,,USD,No,2500000.0,68.0,3000000.0,3.0,500000.0,0.0,,,49-53,Yes,,,Information Technology,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,61-70,2190000.0,0.0,76990.0,250000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,2000000.0,5.0,1500000.0,4.0,50000.0,500000.0,,,44-48,Partially,,,Financial Services,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,61-70,338000.0,244000.0,36300.0,70000.0,2020
2,Yes,29-33,Married,,USD,No,3000000.0,29.0,4500000.0,3.0,0.0,120000.0,,,39-43,No,,,Healthcare,Nonprofit corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,71-80,1562000.0,509000.0,570500.0,650000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1500000.0,20.0,2000000.0,4.0,48000.0,80000.0,,,44-48,Undecided,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Live with family or friends,61-70,398795.0,0.0,90071.56,160232.0,2020
1,Yes,24-28,"Single, never married",,USD,No,2000000.0,0.35,2000000.0,3.5,0.0,50000.0,,,44-48,Undecided,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,61-70,99576.0,92477.0,47030.0,90000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,2200000.0,77.0,2200000.0,3.5,15000.0,70000.0,,,34-38,Yes,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,81-90,2682000.0,213000.0,263600.0,280000.0,2020
1,Yes,34-38,Married,,USD,No,2000000.0,40.0,2000000.0,3.0,20000.0,60000.0,,,39-43,Partially,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,71-80,1590000.0,390000.0,29450.0,444000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,11600000.0,12.0,2000000.0,4.0,0.0,90000.0,,,39-43,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,81-90,106000.0,0.0,157136.0,160000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1000000.0,18.0,2000000.0,4.0,26000.0,40000.0,,,44-48,Undecided,,,Public Administration (Civilian Government),Public agency,Program Staff,For an Organization (Employed),,,,Rent,61-70,178000.0,3000.0,28800.0,90000.0,2020
2,Yes,39-43,Married,,USD,Yes,,,,,,,1500000.0,Yes,,,1.8,50000.0,Information Technology,Self-employed,Information Technology,,,For Myself (Self-Employed),,Own,71-80,2788800.0,0.0,37884.0,75000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,2500000.0,26.0,2500000.0,3.5,25000.0,100000.0,,,49-53,Yes,,,Healthcare,Private corporation,Consultant,For an Organization (Employed),For an Organization (Employed),For an Organization (Employed),,Rent,81-90,678134.0,40134.0,116921.0,116921.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1000000.0,10.0,4000000.0,3.0,15000.0,25000.0,,,44-48,Yes,,,Military,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,51-60,325000.0,130000.0,58400.0,73000.0,2020
2,Yes,18-23,"In a relationship, but not married",,USD,No,1000000.0,2.55,1250000.0,4.0,0.0,40000.0,,,34-38,Partially,,,Education,Public agency,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,61-70,33200.0,29000.0,29480.0,104000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,,,,3.4,20000.0,,,,44-48,No,,,Financial Services,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,61-70,112020.11,7752.81,94155.98,94681.4,2020
1,Yes,18-23,"Single, never married",,USD,No,750000.0,29.0,750000.0,3.33,0.0,25000.0,,,29-33,No,,,Information Technology,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,71-80,220602.0,6142.0,117755.0,118279.0,2020
1,Yes,,"Single, never married",,USD,No,1000000.0,13.0,1000000.0,3.5,50000.0,20000.0,,,49-53,Yes,,,"Trade, transportation, utilities",Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,61-70,310500.0,180000.0,170700.0,94000.0,2020
2,Yes,29-33,Married,,USD,No,2174000.0,24.0,2174000.0,3.5,0.0,60000.0,,,39-43,No,,,Manufacturing,Private corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,71-80,544280.0,0.0,141597.0,208000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,450000.0,40.0,3600000.0,4.0,0.0,110000.0,,,54-58,Yes,,,Information Technology,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,61-70,247250.0,0.0,112405.0,135000.0,2020
2,Yes,29-33,Married,,USD,No,2000000.0,15.0,330000.0,3.0,0.0,100000.0,,,39-43,Undecided,,,Healthcare,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,61-70,578000.0,210000.0,117728.0,126555.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1000000.0,60.0,,3.0,,,,,34-38,Yes,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,61-70,1110000.0,0.0,158500.0,180000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1250000.0,19.0,1500000.0,3.5,20000.0,50000.0,,,34-38,Undecided,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Live with family or friends,71-80,277000.0,0.0,116000.0,102000.0,2020
1,Yes,34-38,"Single, never married",,USD,No,4000000.0,30.0,4000000.0,4.0,40000.0,60000.0,,,44-48,Yes,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,71-80,1335000.0,170000.0,3680.0,190000.0,2020
2,Yes,29-33,Married,,USD,No,3000000.0,88.0,3115000.0,3.25,0.0,100000.0,,,34-38,Partially,,,Information Technology,Private corporation,"Professional (non-licensed, certified)",,,,"For an Organization (Employed), For Myself (Self-Employed)",Rent,91-100,2751900.0,0.0,370800.0,490000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,900000.0,22.0,1200000.0,3.0,5000.0,36000.0,,,54-58,Partially,,,Information Technology,Public agency,Information Technology,For an Organization (Employed),,,,Rent,61-70,202000.0,1500.0,83540.0,111500.0,2020
1,Yes,44-48,"Single, never married",,USD,Yes,,,,,,,1500000.0,No,49-53,Undecided,,,Manufacturing,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,71-80,2224000.0,0.0,110000.0,138000.0,2020
2,Yes,39-43,Married,,USD,No,3000000.0,50.0,4000000.0,3.0,40000.0,60000.0,,,49-53,No,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,61-70,2336000.0,108000.0,65900.0,270000.0,2020
2,Yes,34-38,Married,,USD,No,10000000.0,10.0,10000000.0,3.5,300000.0,250000.0,,,49-53,Yes,,,Professional & Business Services,Self-employed,Management - Upper,For Myself (Self-Employed),,,,Own,71-80,2226000.0,157000.0,185800.0,280000.0,2020
1,Yes,39-43,Married,,USD,No,2000000.0,15.0,3000000.0,3.5,150000.0,120000.0,,,59-63,Partially,,,Professional & Business Services,Private corporation,Management - Upper,For an Organization (Employed),,,,Own,91-100,865200.0,389000.0,118432.0,156000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1500000.0,5.0,1500000.0,3.5,,30000.0,,,29-33,Yes,,,Professional & Business Services,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,61-70,75000.0,70000.0,69570.0,200000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,3000000.0,15.0,5000000.0,,,,,,44-48,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,91-100,320000.0,0.0,0.0,,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,2000000.0,12.0,,3.0,,36000.0,,,Undecided,No,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,91-100,270183.0,0.0,231901.0,197605.0,2020
1,Yes,29-33,"Single, never married",,USD,No,2000000.0,10.0,3200000.0,3.5,20000.0,80000.0,,,44-48,Undecided,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,81-90,665000.0,0.0,107000.0,215000.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,No,1300000.0,26.0,2000000.0,4.0,21600.0,48000.0,,,54-58,No,,,Financial Services,Nonprofit corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,81-90,375000.0,500.0,79200.0,120000.0,2020
2,Yes,29-33,Married,,USD,Yes,,,,,,,,,39-43,Partially,,,Financial Services,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,71-80,944600.0,611950.0,139523.0,139600.0,2020
2,Yes,34-38,Married,,USD,No,4000000.0,47.0,4500000.0,3.0,30000.0,100000.0,,,44-48,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,81-90,2855000.0,630000.0,315250.0,325000.0,2020
1,Yes,24-28,Married,,USD,No,3000000.0,5.75,3000000.0,3.0,0.0,120000.0,,,44-48,Yes,,,Information Technology,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,61-70,733000.0,482700.0,178470.0,257000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1400000.0,12.0,2500000.0,3.0,0.0,75000.0,,,44-48,Undecided,,,Natural Resources,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,71-80,391171.0,17713.0,110986.0,119803.0,2020
2,Yes,29-33,Married,,USD,No,3000000.0,20.0,3000000.0,3.25,5000.0,100000.0,,,44-48,Partially,,,Information Technology,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,81-90,2376000.0,1031500.0,277250.0,500000.0,2020
2,Yes,29-33,Married,,USD,No,850000.0,35.0,1000000.0,4.0,40000.0,42000.0,,,39-43,Partially,,,Other Services,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,71-80,591000.0,87723.0,42075.0,130000.0,2020
1,Yes,34-38,Married,,USD,Yes,,,,,,,,No,Undecided,No,,,Financial Services,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,91-100,4000000.0,0.0,1695477.0,1835000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,2500000.0,26.0,2500000.0,4.0,20000.0,100000.0,,,44-48,Yes,,,Financial Services,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,71-80,669500.0,0.0,87260.0,81000.0,2020
1,Yes,34-38,Married,,USD,No,2500000.0,35.0,2500000.0,3.0,24000.0,35000.0,,,54-58,Partially,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,81-90,1900000.0,250000.0,429464.0,1050000.0,2020
1,Yes,34-38,"Single, never married",,USD,No,,,,,,,,,59-63,Undecided,,,Professional & Business Services,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,71-80,272500.0,0.0,56520.0,100000.0,2020
2,Yes,24-28,Married,,USD,No,2000000.0,10.0,2000000.0,3.5,,40000.0,,,49-53,Undecided,,,Financial Services,Public corporation,Consultant,For an Organization (Employed),,,,Own,61-70,538000.0,0.0,0.0,,2020
2,Yes,44-48,Married,,USD,No,2500000.0,40.0,3000000.0,3.5,,105000.0,,,49-53,Undecided,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,71-80,1930000.0,380000.0,147820.0,200000.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,No,2000000.0,5.0,2000000.0,3.5,,,,,54-58,Partially,,,Healthcare,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Live with family or friends,81-90,220000.0,0.0,27000.0,106000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,600000.0,65.0,1000000.0,3.0,0.0,35000.0,,,34-38,No,,,Other Services,Private corporation,Management - Upper,For an Organization (Employed),,,,Rent,21-30,387800.0,1100.0,71900.0,99000.0,2020
3,Yes,44-48,Widowed,,USD,Yes,,,,,,,1300000.0,No,49-53,No,,,Other Services,Nonprofit corporation,Management - Upper,For an Organization (Employed),,,,Own,71-80,3048205.0,515882.0,96826.0,123206.0,2020
1,Yes,29-33,"Single, never married",,USD,No,600000.0,50.0,1000000.0,2.0,0.0,20000.0,,,39-43,Yes,,,Information Technology,Nonprofit corporation,Administrative staff,For an Organization (Employed),,,,Own,61-70,307000.0,0.0,18880.0,50000.0,2020
1,Yes,39-43,"In a relationship, but not married",,USD,No,1200000.0,18.0,1200000.0,4.0,15000.0,48000.0,,,49-53,Partially,,,Healthcare,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,71-80,313000.0,100000.0,70464.0,100000.0,2020
2,Yes,34-38,Married,,USD,No,2000000.0,40.0,300000.0,2.0,,100000.0,,,44-48,Partially,,,Information Technology,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,81-90,1390000.0,385000.0,270800.0,330000.0,2020
1,Yes,18-23,"Single, never married",,USD,No,1200000.0,1.3,2000000.0,4.0,,60000.0,,,39-43,No,,,Military,Private corporation,Program Staff,For an Organization (Employed),,,,Rent,81-90,47500.0,0.0,70550.0,100000.0,2020
1,Yes,24-28,Married,,USD,No,1500000.0,2.0,1500000.0,4.0,45000.0,70000.0,,,49-53,Yes,,,Transportation,Public agency,Professional (licensed / certificated),For an Organization (Employed),,For Myself (Self-Employed),,Own,61-70,360000.0,386500.0,57000.0,65000.0,2020
1,Yes,49-53,Married,,USD,Yes,,,,,,,3000000.0,No,49-53,Partially,,,Information Technology,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,31-40,4024000.0,129000.0,466000.0,450000.0,2020
1,Yes,34-38,"In a relationship, but not married",,USD,No,2300000.0,62.0,4000000.0,3.5,5000.0,120000.0,,,39-43,Undecided,,,Information Technology,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,71-80,3079000.0,359900.0,127500.0,280000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1250000.0,15.0,1600000.0,3.5,18000.0,50000.0,,,39-43,Undecided,,,Professional & Business Services,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Live with family or friends,61-70,775500.0,325000.0,88600.0,93000.0,2020
2,Yes,34-38,Married,,USD,No,2000000.0,75.0,2500000.0,3.0,10000.0,100000.0,,,59-63,No,,,Healthcare,Nonprofit corporation,Professional (licensed / certificated),,For an Organization (Employed),,,Own,71-80,1545000.0,120000.0,527560.0,532000.0,2020
1,Yes,18-23,"Single, never married",,USD,No,700000.0,5.0,700000.0,5.0,3000.0,40000.0,,,39-43,Undecided,,,Information Technology,Private corporation,Consultant,For an Organization (Employed),,,,Rent,71-80,44000.0,0.0,22585.0,89000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,2000000.0,10.0,2000000.0,3.0,40000.0,40000.0,,,34-38,Yes,,,Manufacturing,Private corporation,Customer Service,For an Organization (Employed),,,,Rent,61-70,268000.0,0.0,39030.0,68000.0,2020
1,Yes,39-43,Married,,USD,No,1700000.0,41.0,1700000.0,3.5,80000.0,65000.0,,,49-53,Undecided,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,121-130,1257000.0,214500.0,136100.0,130000.0,2020
2,Yes,24-28,Married,,USD,No,4000000.0,10.0,8000000.0,4.0,200000.0,150000.0,,,34-38,Undecided,,,Financial Services,Private corporation,Information Technology,For an Organization (Employed),,For Myself (Self-Employed),,Own,61-70,931500.0,745000.0,207000.0,185000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1000000.0,15.0,1000000.0,4.0,10000.0,50000.0,,,44-48,Partially,,,Information Technology,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,81-90,140000.0,7000.0,65300.0,134000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1500000.0,13.0,2000000.0,3.5,,60000.0,,,44-48,Partially,,,Transportation,Private corporation,Skilled Laborer / Skilled Trade,For an Organization (Employed),,,,Rent,71-80,270000.0,0.0,164405.0,194000.0,2020
2,Yes,29-33,Married,,USD,Yes,,,,,,,,,Undecided,Undecided,,,Information Technology,Public corporation,Information Technology,For an Organization (Employed),,,,Own,61-70,1050000.0,610000.0,24000.0,235000.0,2020
1,Yes,18-23,"In a relationship, but not married",,USD,No,1000000.0,4.5,2500000.0,3.5,50000.0,75000.0,,,44-48,No,,,Manufacturing,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,61-70,45200.0,0.0,55500.0,55000.0,2020
2,Yes,29-33,"In a relationship, but not married",,USD,No,2000000.0,,,4.0,,80000.0,,,Undecided,Partially,,,Information Technology,Private corporation,Consultant,For an Organization (Employed),,,,Own,61-70,474000.0,251500.0,49440.0,163000.0,2020
2,Yes,29-33,Married,,USD,No,1000000.0,80.0,2500000.0,4.0,0.0,60000.0,,,39-43,Yes,,,Other Services,Nonprofit corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,61-70,800000.0,15000.0,30400.0,196000.0,2020
1,Yes,18-23,"In a relationship, but not married",,USD,No,1000000.0,1.0,1000000.0,4.0,,30000.0,,,44-48,Partially,,,Manufacturing,Private corporation,General Labor,,For an Organization (Employed),,,Live with family or friends,71-80,19000.0,17000.0,22000.0,22000.0,2020
1,Yes,29-33,"In a relationship, but not married",,USD,No,750000.0,28.7,120000.0,4.0,25000.0,36000.0,,,49-53,No,,,Manufacturing,Private corporation,Program Staff,For an Organization (Employed),,For Myself (Self-Employed),,Rent,101-110,349765.0,311839.0,108614.0,117000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1000000.0,100.0,180000.0,3.5,10000.0,60000.0,,,29-33,Partially,,,Manufacturing,Public corporation,Information Technology,For an Organization (Employed),,,,Rent,71-80,1017033.0,4012.0,73400.0,120000.0,2020
2,Yes,24-28,"In a relationship, but not married",,USD,No,,,,,,,,,39-43,Partially,,,Professional & Business Services,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Own,61-70,420045.0,0.0,0.0,120000.0,2020
1,Yes,29-33,"Single, never married",,USD,No,2000000.0,24.0,3000000.0,3.75,20000.0,70000.0,,,49-53,Partially,,,Professional & Business Services,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,81-90,462000.0,7000.0,97900.0,112000.0,2020
1,Yes,24-28,"Single, never married",,USD,No,1000000.0,16.0,1500000.0,3.3,12000.0,40000.0,,,54-58,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Own,61-70,350000.0,129000.0,18300.0,120000.0,2020
1,Yes,34-38,Married,,USD,No,1500000.0,,2000000.0,3.5,0.0,50000.0,,,49-53,Partially,,,Information Technology,Self-employed,Information Technology,For Myself (Self-Employed),,,,Own,81-90,1040000.0,395000.0,57000.0,200000.0,2020
1,Yes,34-38,"Single, never married",,USD,No,1250000.0,41.0,1750000.0,3.5,,60000.0,,,49-53,Partially,,,Construction,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,61-70,730700.0,99850.0,78000.0,97000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1428571.0,12.0,1428571.0,3.5,0.0,50000.0,,,49-53,Partially,,,Manufacturing,Private corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,61-70,162892.0,3280.0,93138.0,105826.0,2020
2,Yes,29-33,Married,,USD,No,3000000.0,20.0,5000000.0,3.0,5000.0,120000.0,,,49-53,Undecided,,,Healthcare,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,71-80,750000.0,50000.0,23000.0,450000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,1600000.0,2.536251875,1600000.0,4.0,0.0,30000.0,,,34-38,Partially,,,Information Technology,Public corporation,,For an Organization (Employed),,,,Rent,101-110,44678.4,7908.0,72025.16,87000.0,2020
1,Yes,24-28,"In a relationship, but not married",,USD,No,2500000.0,14.0,5000000.0,4.0,,200000.0,,,49-53,Partially,,,Professional & Business Services,Private corporation,Consultant,For an Organization (Employed),,,,Rent,91-100,325000.0,0.0,104000.0,104000.0,2020
